warehouse_id,name,address,city,state,postal_code,country,latitude,longitude,capacity,manager_name,contact_email,created_at,updated_at
WH_001,Seattle DC,100 Harbor Dr,Seattle,WA,98101,USA,47.6062,-122.3321,50000,John Peterson,seattle.manager@warehouse.com,2024-01-05T08:00:00Z,2024-06-01T08:15:00Z
WH_002,Portland DC,200 Commerce St,Portland,OR,97205,USA,45.5152,-122.6784,40000,Sarah Nguyen,portland.manager@warehouse.com,2024-01-10T09:00:00Z,2024-06-02T09:10:00Z
WH_003,San Francisco DC,300 Market Ave,San Francisco,CA,94105,USA,37.7749,-122.4194,45000,David Lee,sf.manager@warehouse.com,2024-01-15T10:00:00Z,2024-06-03T10:20:00Z
WH_004,Chicago DC,400 Industrial Rd,Chicago,IL,60601,USA,41.8781,-87.6298,60000,Lisa Gomez,chicago.manager@warehouse.com,2024-01-20T11:00:00Z,2024-06-04T11:25:00Z
WH_005,Los Angeles DC,500 Supply Ln,Los Angeles,CA,90001,USA,34.0522,-118.2437,55000,Mark Davis,la.manager@warehouse.com,2024-01-25T12:00:00Z,2024-06-05T12:30:00Z
WH_006,San Diego DC,600 Harbor Dr,San Diego,CA,92101,USA,32.7157,-117.1611,30000,Angela Moore,sandiego.manager@warehouse.com,2024-02-01T08:30:00Z,2024-06-06T08:40:00Z
WH_007,Minneapolis DC,700 Supply Rd,Minneapolis,MN,55401,USA,44.9778,-93.2650,35000,Paul Anderson,minneapolis.manager@warehouse.com,2024-02-05T09:45:00Z,2024-06-07T09:55:00Z
WH_008,Boston DC,800 Harbor Blvd,Boston,MA,02110,USA,42.3601,-71.0589,32000,Mary Johnson,boston.manager@warehouse.com,2024-02-10T07:20:00Z,2024-06-08T07:35:00Z
WH_009,Atlanta DC,900 Commerce Rd,Atlanta,GA,30303,USA,33.7490,-84.3880,38000,Kevin Brown,atlanta.manager@warehouse.com,2024-02-15T10:10:00Z,2024-06-09T10:25:00Z
WH_010,Detroit DC,1000 Foundry St,Detroit,MI,48201,USA,42.3314,-83.0458,28000,Olivia Martin,detroit.manager@warehouse.com,2024-02-20T11:30:00Z,2024-06-10T11:45:00Z
