vehicle_id,registration_number,vehicle_type,make,model,year,capacity,status,created_at,updated_at
VEH_001,WA-VH001,truck,Volvo,"FH16",2020,20000,active,2024-01-05T08:00:00Z,2024-06-01T08:15:00Z
VEH_002,WA-VH002,truck,Scania,"R450",2019,18000,active,2024-01-10T09:00:00Z,2024-06-02T09:10:00Z
VEH_003,OR-VH003,van,Mercedes,"Sprinter",2021,5000,active,2024-01-15T10:00:00Z,2024-06-03T10:20:00Z
VEH_004,CA-VH004,truck,MAN,"TGX",2020,22000,active,2024-01-20T11:00:00Z,2024-06-04T11:25:00Z
VEH_005,IL-VH005,van,Ford,"Transit",2022,3500,active,2024-01-25T12:00:00Z,2024-06-05T12:30:00Z
VEH_006,CA-VH006,truck,Volvo,"FH12",2018,16000,maintenance,2024-02-01T08:30:00Z,2024-06-06T08:40:00Z
VEH_007,MN-VH007,van,Isuzu,"NPR",2021,4500,active,2024-02-05T09:45:00Z,2024-06-07T09:55:00Z
VEH_008,MA-VH008,truck,DAF,"XF95",2019,19000,active,2024-02-10T07:20:00Z,2024-06-08T07:35:00Z
VEH_009,GA-VH009,van,Hino,"268",2020,6000,active,2024-02-15T10:10:00Z,2024-06-09T10:25:00Z
VEH_010,MI-VH010,truck,Peterbilt,"579",2021,21000,active,2024-02-20T11:30:00Z,2024-06-10T11:45:00Z
