order_id,customer_id,order_date,required_delivery_date,status,total_amount,created_at,updated_at
ORD_001,CUST_001,2024-05-01T10:00:00Z,2024-05-10,pending,1250.00,2024-05-01T10:05:00Z,2024-06-01T10:10:00Z
ORD_002,CUST_002,2024-05-02T11:00:00Z,2024-05-12,processing,2150.50,2024-05-02T11:05:00Z,2024-06-02T11:10:00Z
ORD_003,CUST_003,2024-05-03T12:00:00Z,2024-05-15,shipped,3500.00,2024-05-03T12:05:00Z,2024-06-03T12:10:00Z
ORD_004,CUST_004,2024-05-04T09:00:00Z,2024-05-14,delivered,1875.00,2024-05-04T09:05:00Z,2024-06-04T09:10:00Z
ORD_005,CUST_005,2024-05-05T10:30:00Z,2024-05-18,pending,2500.00,2024-05-05T10:35:00Z,2024-06-05T10:40:00Z
ORD_006,CUST_006,2024-05-06T14:00:00Z,2024-05-20,processing,1950.75,2024-05-06T14:05:00Z,2024-06-06T14:10:00Z
ORD_007,CUST_007,2024-05-07T08:15:00Z,2024-05-17,shipped,4200.00,2024-05-07T08:20:00Z,2024-06-07T08:25:00Z
ORD_008,CUST_008,2024-05-08T11:45:00Z,2024-05-19,delivered,2300.50,2024-05-08T11:50:00Z,2024-06-08T11:55:00Z
ORD_009,CUST_009,2024-05-09T09:30:00Z,2024-05-22,pending,3700.00,2024-05-09T09:35:00Z,2024-06-09T09:40:00Z
ORD_010,CUST_010,2024-05-10T10:00:00Z,2024-05-21,processing,1600.25,2024-05-10T10:05:00Z,2024-06-10T10:10:00Z
ORD_011,CUST_011,2024-05-11T13:00:00Z,2024-05-23,shipped,2850.00,2024-05-11T13:05:00Z,2024-06-11T13:10:00Z
ORD_012,CUST_012,2024-05-12T15:30:00Z,2024-05-25,delivered,2100.75,2024-05-12T15:35:00Z,2024-06-12T15:40:00Z
ORD_013,CUST_013,2024-05-13T09:00:00Z,2024-05-24,pending,3200.00,2024-05-13T09:05:00Z,2024-06-13T09:10:00Z
ORD_014,CUST_014,2024-05-14T10:15:00Z,2024-05-26,processing,1700.50,2024-05-14T10:20:00Z,2024-06-14T10:25:00Z
ORD_015,CUST_015,2024-05-15T11:00:00Z,2024-05-27,shipped,2950.00,2024-05-15T11:05:00Z,2024-06-15T11:10:00Z
