shipment_id,order_id,warehouse_id,vehicle_id,driver_id,origin_address,destination_address,shipment_date,expected_delivery_date,actual_delivery_date,status,created_at,updated_at
SHP_001,ORD_001,WH_001,VEH_001,DRV_001,100 Harbor Dr Seattle WA 98101 USA,123 Industrial Way Seattle WA 98101 USA,2024-05-02T08:00:00Z,2024-05-10,2024-05-09,delivered,2024-05-02T08:05:00Z,2024-06-01T08:10:00Z
SHP_002,ORD_002,WH_002,VEH_003,DRV_002,200 Commerce St Portland OR 97205 USA,456 Commerce St Portland OR 97205 USA,2024-05-03T09:00:00Z,2024-05-12,2024-05-11,delivered,2024-05-03T09:05:00Z,2024-06-02T09:10:00Z
SHP_003,ORD_003,WH_003,VEH_004,DRV_003,300 Market Ave San Francisco CA 94105 USA,789 Market Ave San Francisco CA 94105 USA,2024-05-04T10:00:00Z,2024-05-15,2024-05-14,delivered,2024-05-04T10:05:00Z,2024-06-03T10:10:00Z
SHP_004,ORD_004,WH_004,VEH_001,DRV_004,400 Industrial Rd Chicago IL 60601 USA,321 Industrial Rd Chicago IL 60601 USA,2024-05-05T11:00:00Z,2024-05-14,2024-05-13,delivered,2024-05-05T11:05:00Z,2024-06-04T11:10:00Z
SHP_005,ORD_005,WH_005,VEH_005,DRV_005,500 Supply Ln Los Angeles CA 90001 USA,12 Retail Park Los Angeles CA 90001 USA,2024-05-06T12:00:00Z,2024-05-18,2024-05-17,delivered,2024-05-06T12:05:00Z,2024-06-05T12:10:00Z
SHP_006,ORD_006,WH_006,VEH_002,DRV_006,600 Harbor Dr San Diego CA 92101 USA,98 Harbor Dr San Diego CA 92101 USA,2024-05-07T08:30:00Z,2024-05-20,2024-05-19,delivered,2024-05-07T08:35:00Z,2024-06-06T08:40:00Z
SHP_007,ORD_007,WH_007,VEH_007,DRV_007,700 Supply Rd Minneapolis MN 55401 USA,77 Supply Ln Minneapolis MN 55401 USA,2024-05-08T09:45:00Z,2024-05-17,2024-05-16,delivered,2024-05-08T09:50:00Z,2024-06-07T09:55:00Z
SHP_008,ORD_008,WH_008,VEH_008,DRV_008,800 Harbor Blvd Boston MA 02110 USA,200 Harbor Blvd Boston MA 02110 USA,2024-05-09T07:20:00Z,2024-05-19,2024-05-18,delivered,2024-05-09T07:25:00Z,2024-06-08T07:30:00Z
SHP_009,ORD_009,WH_009,VEH_009,DRV_009,900 Commerce Rd Atlanta GA 30303 USA,55 Commerce Rd Atlanta GA 30303 USA,2024-05-10T10:10:00Z,2024-05-22,2024-05-21,delivered,2024-05-10T10:15:00Z,2024-06-09T10:20:00Z
SHP_010,ORD_010,WH_010,VEH_010,DRV_010,1000 Foundry St Detroit MI 48201 USA,400 Foundry St Detroit MI 48201 USA,2024-05-11T11:30:00Z,2024-05-21,2024-05-20,delivered,2024-05-11T11:35:00Z,2024-06-10T11:40:00Z
