product_id,name,description,category,sku,unit_price,weight,dimensions,created_at,updated_at
PROD_001,Widget A,,Hardware,WDGT-A-001,12.50,0.5,5 x 3 x 2 (cm),2024-01-10T08:00:00Z,2024-06-01T08:30:00Z
PROD_002,Widget B,,Hardware,WDGT-B-002,15.00,0.6,5 x 3 x 2 (cm),2024-01-12T09:15:00Z,2024-06-02T09:45:00Z
PROD_003,Gadget X,,Electronics,GDGT-X-003,45.00,1.2,10 x 8 x 5 (cm),2024-01-20T10:30:00Z,2024-06-03T10:55:00Z
PROD_004,Gadget Y,,Electronics,GDGT-Y-004,55.00,1.5,10 x 8 x 5 (cm),2024-02-01T11:00:00Z,2024-06-04T11:20:00Z
PROD_005,Component 1,,Components,COMP-1-005,2.75,0.2,3 x 2 x 1 (cm),2024-02-05T12:00:00Z,2024-06-05T12:15:00Z
PROD_006,Component 2,,Components,COMP-2-006,3.50,0.25,3 x 2 x 1 (cm),2024-02-10T13:00:00Z,2024-06-06T13:10:00Z
PROD_007,Pack Medium,,Packaging,PACK-M-007,1.25,0.1,15 x 10 x 5 (cm),2024-03-01T08:30:00Z,2024-06-07T08:45:00Z
PROD_008,Pack Large,,Packaging,PACK-L-008,2.00,0.2,20 x 15 x 10 (cm),2024-03-05T09:00:00Z,2024-06-08T09:20:00Z
PROD_009,Accessory A,,Accessories,ACCS-A-009,5.00,0.05,5 x 2 x 1 (cm),2024-03-10T10:10:00Z,2024-06-09T10:25:00Z
PROD_010,Accessory B,,Accessories,ACCS-B-010,6.50,0.06,5 x 2 x 1 (cm),2024-03-15T11:15:00Z,2024-06-10T11:35:00Z
PROD_011,Widget C,,Hardware,WDGT-C-011,18.00,0.7,5 x 3 x 2 (cm),2024-03-20T12:20:00Z,2024-06-11T12:40:00Z
PROD_012,Gizmo 1,,Electronics,GIZM-1-012,25.00,0.9,8 x 6 x 4 (cm),2024-04-01T08:05:00Z,2024-06-12T08:25:00Z
PROD_013,Gizmo 2,,Electronics,GIZM-2-013,30.00,1.1,8 x 6 x 4 (cm),2024-04-06T09:10:00Z,2024-06-13T09:35:00Z
PROD_014,Module A,,Components,MODL-A-014,8.00,0.8,6 x 4 x 3 (cm),2024-04-10T10:30:00Z,2024-06-14T10:50:00Z
PROD_015,Module B,,Components,MODL-B-015,9.50,0.85,6 x 4 x 3 (cm),2024-04-15T11:45:00Z,2024-06-15T12:05:00Z
PROD_016,Container Small,,Packaging,CONT-S-016,10.00,2.0,25 x 20 x 15 (cm),2024-04-20T07:30:00Z,2024-06-16T07:50:00Z
PROD_017,Container Large,,Packaging,CONT-L-017,20.00,3.5,35 x 30 x 25 (cm),2024-04-25T08:40:00Z,2024-06-17T09:00:00Z
PROD_018,Spare Part 1,,Components,SPAR-1-018,4.25,0.15,4 x 3 x 2 (cm),2024-05-01T09:50:00Z,2024-06-18T10:10:00Z
PROD_019,Spare Part 2,,Components,SPAR-2-019,3.75,0.12,4 x 3 x 2 (cm),2024-05-05T10:55:00Z,2024-06-19T11:15:00Z
PROD_020,Electro Kit,,Electronics,ELCT-K-020,75.00,2.5,15 x 12 x 8 (cm),2024-05-10T12:00:00Z,2024-06-20T12:20:00Z
